"C_qoe","C_accep","duration_surfing","duration_prompt","cond_code","prompt_type","site_index","site_name","dl_bandwidth","ul_bandwidth","rtt_delay","usr_id"
"","","182","","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","1"
"5","1","176","14","SPIEGEL_3","web","1","spiegel.de","256","384","80","1"
"4","1","164","9","SPIEGEL_2","web","1","spiegel.de","128","384","80","1"
"","","172","","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","1"
"2","0","175","16","WIKI_1","web","2","wikipedia.de","64","384","80","1"
"4","1","159","13","WIKI_3","web","2","wikipedia.de","256","384","80","1"
"4","1","161","14","WIKI_5","web","2","wikipedia.de","1024","384","80","1"
"","","166","","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","3"
"4,5","1","156","9","SPIEGEL_4","web","1","spiegel.de","512","384","80","3"
"4,5","1","173","11","SPIEGEL_2","web","1","spiegel.de","128","384","80","3"
"","","167","","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","3"
"4,5","1","155","15","WIKI_2","web","2","wikipedia.de","128","384","80","3"
"4,5","1","146","13","WIKI_4","web","2","wikipedia.de","512","384","80","3"
"","","156","","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","3"
"5","1","162","6","EXP_2","web","4","expedia.de","128","384","80","3"
"5","1","152","9","EXP_4","web","4","expedia.de","512","384","80","3"
"","","156","","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","3"
"5","1","160","15","CHEF_5","web","5","chefkoch.de","1024","384","80","3"
"5","1","149","8","CHEF_1","web","5","chefkoch.de","64","384","80","3"
"5","1","213","8","CHEF_3","web","5","chefkoch.de","256","384","80","3"
"","","168","","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","5"
"2,5","1","162","29","SPIEGEL_1","web","1","spiegel.de","64","384","80","5"
"4","1","156","16","SPIEGEL_4","web","1","spiegel.de","512","384","80","5"
"3","1","163","22","SPIEGEL_2","web","1","spiegel.de","128","384","80","5"
"","","154","","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","5"
"4,5","1","154","13","EXP_3","web","4","expedia.de","256","384","80","5"
"3","1","174","20","EXP_1","web","4","expedia.de","64","384","80","5"
"4","1","159","12","EXP_5","web","4","expedia.de","1024","384","80","5"
"","","176","","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","5"
"5","1","172","11","CHEF_4","web","5","chefkoch.de","512","384","80","5"
"4,5","1","160","13","CHEF_2","web","5","chefkoch.de","128","384","80","5"
"","","182","","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","5"
"4,5","1","156","14","WIKI_3","web","2","wikipedia.de","256","384","80","5"
"4","1","154","18","WIKI_1","web","2","wikipedia.de","64","384","80","5"
"5","1","153","17","WIKI_5","web","2","wikipedia.de","1024","384","80","5"
"","","172","","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","5"
"4","1","159","19","SPIEGEL_3","web","1","spiegel.de","256","384","80","5"
"5","1","154","11","SPIEGEL_5","web","1","spiegel.de","1024","384","80","5"
"","","219","","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","7"
"2","1","160","26","SPIEGEL_1","web","1","spiegel.de","64","384","80","7"
"3,5","1","192","13","SPIEGEL_3","web","1","spiegel.de","256","384","80","7"
"3,5","1","158","12","SPIEGEL_2","web","1","spiegel.de","128","384","80","7"
" "," ","172"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","7"
"3,5","1","157","20","EXP_2","web","4","expedia.de","128","384","80","7"
"3","1","156","16","EXP_4","web","4","expedia.de","512","384","80","7"
" "," ","187"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","7"
"4","1","179","11","CHEF_1","web","5","chefkoch.de","64","384","80","7"
"4","1","161","10","CHEF_5","web","5","chefkoch.de","1024","384","80","7"
"4","1","155","11","CHEF_3","web","5","chefkoch.de","256","384","80","7"
" "," ","173"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","7"
"4,5","1","170","22","WIKI_2","web","2","wikipedia.de","128","384","80","7"
"4,5","1","162","22","WIKI_4","web","2","wikipedia.de","512","384","80","7"
" "," ","161"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","7"
"4,5","1","158","10","SPIEGEL_5","web","1","spiegel.de","1024","384","80","7"
"4","1","164","11","SPIEGEL_4","web","1","spiegel.de","512","384","80","7"
" "," ","166"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","9"
"4","1","165","24","SPIEGEL_5","web","1","spiegel.de","1024","384","80","9"
"2,5","1","162","23","SPIEGEL_2","web","1","spiegel.de","128","384","80","9"
" "," ","173"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","9"
"4,5","1","171","35","WIKI_3","web","2","wikipedia.de","256","384","80","9"
"4,5","1","155","29","WIKI_5","web","2","wikipedia.de","1024","384","80","9"
"1","1","178","30","WIKI_1","web","2","wikipedia.de","64","384","80","9"
" "," ","169"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","9"
"4","1","155","18","EXP_3","web","4","expedia.de","256","384","80","9"
"3,5","1","156","17","EXP_5","web","4","expedia.de","1024","384","80","9"
"2,5","1","153","19","EXP_1","web","4","expedia.de","64","384","80","9"
" "," ","205"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","9"
"3,5","1","164","15","CHEF_4","web","5","chefkoch.de","512","384","80","9"
"4,5","1","149","19","CHEF_2","web","5","chefkoch.de","128","384","80","9"
" "," ","164"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","9"
"4,5","1","153","17","SPIEGEL_4","web","1","spiegel.de","512","384","80","9"
"4","1","149","12","SPIEGEL_1","web","1","spiegel.de","64","384","80","9"
"4,5","1","150","13","SPIEGEL_3","web","1","spiegel.de","256","384","80","9"
" "," ","170"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","11"
"4,5","1","157","21","SPIEGEL_4","web","1","spiegel.de","512","384","80","11"
"5","1","157","12","SPIEGEL_5","web","1","spiegel.de","1024","384","80","11"
"4,5","1","158","20","SPIEGEL_2","web","1","spiegel.de","128","384","80","11"
" "," ","170"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","11"
"5","1","140","20","WIKI_4","web","2","wikipedia.de","512","384","80","11"
"4","1","202","19","WIKI_2","web","2","wikipedia.de","128","384","80","11"
" "," ","173"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","11"
"4","1","157","14","EXP_4","web","4","expedia.de","512","384","80","11"
"3,5","1","161","25","EXP_2","web","4","expedia.de","128","384","80","11"
" "," ","168"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","11"
"2","1","164","36","CHEF_3","web","5","chefkoch.de","256","384","80","11"
"4,5","1","161","14","CHEF_5","web","5","chefkoch.de","1024","384","80","11"
"1,5","0","155","43","CHEF_1","web","5","chefkoch.de","64","384","80","11"
" "," ","181"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","11"
"1","1","166","10","SPIEGEL_1","web","1","spiegel.de","64","384","80","11"
"3","1","152","13","SPIEGEL_3","web","1","spiegel.de","256","384","80","11"
" "," ","121"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","13"
"1,5","1","171","18","SPIEGEL_1","web","1","spiegel.de","64","384","80","13"
"3,5","1","174","14","SPIEGEL_4","web","1","spiegel.de","512","384","80","13"
"2,5","1","164","15","SPIEGEL_2","web","1","spiegel.de","128","384","80","13"
" "," ","180"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","13"
"2","1","165","22","EXP_3","web","4","expedia.de","256","384","80","13"
"1,5","1","161","13","EXP_1","web","4","expedia.de","64","384","80","13"
"4","1","185","23","EXP_5","web","4","expedia.de","1024","384","80","13"
" "," ","183"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","13"
"3,5","1","165","14","CHEF_4","web","5","chefkoch.de","512","384","80","13"
"2","1","177","20","CHEF_2","web","5","chefkoch.de","128","384","80","13"
" "," ","165"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","13"
"4","1","161","17","WIKI_3","web","2","wikipedia.de","256","384","80","13"
"1","0","171","21","WIKI_1","web","2","wikipedia.de","64","384","80","13"
